Symbol,LTP,Percentage_Change,High,Low,Open,Quantity
MAKAR,238.0,1.06,239.8,230.8,230.8,3530
MANDU,410.5,0.0,410.5,373.2,373.2,120801
MBJC,265.0,0.34,279.0,259.1,259.1,6595
MBL,205.0,0.0,207.0,203.9,205.0,30711
MCHL,257.0,0.04,262.0,248.5,253.0,11400
MDB,400.0,0.4,405.5,400.0,400.0,1073
MEHL,224.4,1.54,227.0,217.2,217.5,23622
MEL,170.0,1.01,174.4,166.7,166.7,24426
MEN,802.5,1.44,805.0,785.1,790.0,975
MERO,520.0,0.0,530.4,512.0,530.4,4289
MFIL,510.5,0.1,514.1,506.0,512.0,5341
MHCL,202.0,-0.83,208.0,196.3,200.0,7094
MHL,313.4,-0.25,321.5,310.0,314.0,12355
MHNL,188.9,-0.58,192.4,188.7,192.0,4230
MKHC,222.0,1.37,222.0,214.0,215.0,4683
MKHL,251.0,1.21,257.0,244.0,244.0,6650
MKJC,350.0,0.29,355.9,345.0,345.0,1100
MKLB,598.0,0.17,600.0,592.0,597.0,679
MLBBL,705.0,-2.08,734.0,705.0,734.0,2318
MLBL,302.0,0.63,306.0,300.0,306.0,26781
MLBS,655.4,3.2,655.4,630.0,630.0,210
MLBSL,1720.0,-0.41,1730.0,1710.0,1725.0,979
MMF1,6.97,-0.14,7.14,6.97,7.0,4100
MMFDB,591.0,0.17,600.0,585.0,586.0,871
MNBBL,375.0,-0.53,381.0,374.0,380.0,22492
MPFL,285.0,0.04,295.0,282.3,289.0,4788
MSLB,768.0,0.84,768.0,762.0,762.0,20
NABBC,373.7,-0.61,373.7,368.5,368.5,110
NABIL,567.0,-0.35,570.9,566.5,570.0,58358
NADEP,505.0,-0.59,515.0,504.7,505.0,1410
NBF2,9.49,3.38,9.5,9.1,9.1,35155
NBF3,7.14,3.18,7.14,6.92,6.92,7260
NBL,246.1,0.04,250.0,245.9,250.0,17939
NEF,9.62,0.1,9.7,9.61,9.62,58454
NESDO,1712.1,-0.46,1735.0,1711.1,1720.0,831
NFS,298.0,-0.67,303.5,295.0,303.0,14115
NGPL,202.0,0.5,209.0,197.0,200.5,27813
NHDL,327.0,0.46,332.0,321.6,321.6,1847
NHPC,144.0,-1.17,148.6,143.0,144.5,27762
NIBD84,825.0,0.0,825.0,825.0,825.0,50
NIBLGF,7.84,0.0,7.99,7.75,7.83,12925
NIBLPF,8.76,-1.02,8.76,8.69,8.69,19500
NIBSF2,7.15,1.13,7.15,6.93,6.93,1800
NICA,535.0,-0.19,542.9,531.0,536.3,66243
NICFC,7.9,-0.38,7.97,7.81,7.81,3000
NICGF,9.89,-2.94,10.3,9.89,10.3,5560
NICL,758.0,0.93,758.0,740.1,741.0,6374
NICLBSL,625.0,0.81,630.0,610.1,610.1,4301
NICSF,7.91,-1.37,8.06,7.91,8.04,6304
NIFRA,189.6,-0.11,193.0,188.0,189.0,43412
NIL,806.1,-0.6,819.0,800.0,819.0,9809
NIMB,176.0,0.51,176.9,175.0,175.1,43345
NIMBPO,145.0,0.62,145.8,143.5,144.0,10851
NLBBL,563.0,1.26,567.0,559.0,567.0,4077
NLG,734.0,-0.54,749.0,734.0,749.0,4064
NLIC,655.0,0.46,665.0,652.0,652.0,13710
NLICL,535.0,0.19,544.6,525.1,544.6,14759
NMB,212.0,1.29,212.0,208.6,209.0,25549
NMB50,9.33,1.86,9.52,9.32,9.34,3400
NMBHF1,10.0,5.04,10.2,9.48,9.48,86180
NMBMF,502.0,-0.99,507.0,502.0,507.0,321
NMFBS,1070.0,1.42,1070.0,1041.0,1041.0,2031
NRIC,631.0,0.32,640.0,625.3,629.0,15336
NRM,239.7,2.88,240.0,230.0,233.0,10854
NRN,400.0,-0.25,416.0,396.6,398.0,7323
NSIF2,8.64,-1.82,8.68,8.64,8.64,1000
NTC,831.0,0.24,839.0,825.1,825.1,10625
NUBL,602.0,1.18,604.0,590.0,590.0,2188
NYADI,207.9,0.92,213.0,200.0,202.0,3272
OHL,674.5,-2.18,702.0,673.3,702.0,13740
PBD88,891.8,-2.0,891.8,891.8,891.8,50
PCBL,179.0,-0.56,180.0,177.3,180.0,41750
PFL,342.0,-0.55,346.0,340.5,342.2,2623
PHCL,265.0,3.11,265.0,247.2,252.0,9629
PMHPL,169.6,-0.24,172.0,166.5,172.0,760
PPCL,223.0,1.83,230.0,216.0,216.0,4550
PPL,232.0,1.05,233.0,220.7,225.1,5804
PRIN,665.0,-0.51,681.7,656.0,681.7,3760
PROFL,315.0,5.0,315.0,300.0,304.5,14870
PRSF,7.96,0.0,7.96,7.77,7.86,78700
PRVU,158.0,-0.06,159.9,157.1,157.1,43166
PSF,7.94,2.72,7.94,7.59,7.72,62050
RADHI,213.0,0.47,216.0,210.0,214.0,12318
RAWA,350.0,2.01,357.5,336.5,344.0,6690
RBCL,13500.0,0.0,13770.0,13300.0,13501.0,455
RBCLPO,11451.0,-1.29,11451.0,11451.0,11451.0,20
RFPL,224.9,2.65,225.0,215.1,215.1,4589
RHGCL,218.0,1.4,218.0,210.1,211.1,7226
RHPL,261.0,0.77,264.0,257.4,258.1,12277
RIDI,197.0,-1.01,202.9,196.1,202.9,14627
RLFL,308.0,-0.32,315.0,304.1,309.0,11746
RMF1,7.1,0.42,7.1,7.03,7.03,4600
RMF2,7.71,1.31,7.71,7.66,7.66,680
RNLI,433.5,-0.02,445.0,429.3,430.0,64213
RSDC,551.7,-0.24,560.0,551.7,553.0,1404
RSDCP,310.0,0.0,310.0,310.0,310.0,3968
RURU,734.9,0.52,734.9,726.0,731.0,509
SABSL,610.0,1.67,622.0,580.0,588.0,1094
SADBL,297.0,-0.67,301.0,295.1,295.1,28799
SAEF,9.17,-1.61,9.29,9.16,9.29,20411
SAGF,7.85,-0.51,7.95,7.81,7.81,2500
SAHAS,421.0,-0.47,423.5,407.7,415.0,4930
SALICO,688.0,1.18,691.0,667.0,667.0,8857
SAMAJ,86.2,1.89,86.2,86.2,86.2,10
SANIMA,235.0,-0.09,238.9,233.7,238.0,34320
SAPDBL,230.0,-0.35,231.8,228.6,230.0,530
SBCF,7.35,-1.61,7.35,7.35,7.35,100
SBI,310.1,0.42,314.0,307.8,308.0,4809
SBIBD86,900.0,0.9,900.0,900.0,900.0,100
SBL,250.6,0.48,252.9,249.0,250.0,16543
SCB,517.9,0.37,522.0,511.0,511.0,11289
SDLBSL,582.0,-0.7,586.0,576.0,576.0,404
SEF,7.66,-1.03,7.8,7.5,7.8,4750
SFCL,267.0,-1.11,275.4,266.1,274.9,8814
SFEF,7.82,-0.38,7.82,7.8,7.8,700
SFMF,9.06,-0.55,9.25,8.94,9.1,71755
SGHC,231.0,0.87,231.0,215.7,224.5,3318
SGIC,478.0,-4.21,490.0,452.0,490.0,42551
SHEL,218.6,-0.64,224.4,217.1,217.1,1190
SHINE,368.0,0.0,374.9,360.0,374.9,27596
SHINEP,185.0,0.0,185.0,185.0,185.0,33680
SHIVM,513.0,0.1,520.0,510.0,515.0,49156
SHL,415.0,0.24,422.2,410.5,422.2,32563
SHLB,911.0,0.89,920.0,892.0,907.0,290
SHPC,297.8,0.18,300.0,289.0,300.0,26341
SICL,722.0,0.0,744.0,720.0,720.5,10550
SIFC,321.9,3.5,323.5,312.0,317.2,10098
SIGS2,7.59,-3.19,7.69,7.45,7.69,30475
SIKLES,359.0,-0.28,360.0,352.8,352.8,850
SINDU,249.9,2.0,255.0,242.1,245.0,1152
SJCL,254.0,1.2,256.0,251.0,252.0,2334
SJLIC,510.9,0.57,512.0,498.0,508.0,20094
SKBBL,891.0,1.25,891.0,874.2,878.0,10177
SLBBL,633.0,-0.63,637.0,626.0,637.0,3588
SLBSL,760.0,0.28,773.0,760.0,773.0,30
SLCF,7.1,-0.14,7.1,7.02,7.02,1400
SMATA,676.0,9.92,676.0,612.0,622.0,459
SMB,911.0,-0.76,911.0,911.0,911.0,27
SMFBS,1004.0,-0.59,1004.0,956.0,989.8,486
SMH,544.0,-1.07,551.0,530.0,539.3,4011
SMHL,344.2,-3.31,369.0,344.2,363.0,5070
SMJC,240.0,-0.83,246.8,238.0,242.0,18754
SNLI,448.2,0.04,457.0,445.0,456.9,38735
SPC,390.0,1.09,392.0,378.3,385.8,1725
SPDL,169.0,0.0,175.0,169.0,172.3,5308
SPHL,544.0,9.85,544.0,485.3,485.3,26004
SPIL,687.0,1.31,693.6,671.0,671.0,7126
SPL,736.0,-1.87,750.0,725.0,740.0,2321
SRLI,466.1,4.3,466.1,441.0,441.0,11339
SSHL,146.0,0.14,150.0,144.6,148.7,20625
STC,5200.0,-0.12,5299.0,5120.0,5299.0,602
SWBBL,780.0,2.23,780.0,751.5,751.5,2636
SWMF,610.0,0.33,615.0,604.0,608.0,216
TAMOR,245.9,0.37,246.0,240.1,240.1,9085
TPC,345.5,-0.75,350.0,343.1,348.0,305
TRH,710.9,4.02,710.9,656.5,669.8,13322
TSHL,354.3,-1.03,372.0,351.0,351.0,6217
UAIL,518.1,0.21,537.0,497.0,507.0,8017
UHEWA,298.0,-0.37,305.0,298.0,299.2,7231
ULBSL,1200.0,-1.32,1240.0,1184.0,1230.0,1200
ULHC,293.1,1.42,300.0,282.3,290.0,57844
UMHL,180.0,1.01,192.6,175.1,175.1,10667
UMRH,356.0,0.0,363.0,351.0,363.0,1150
UNHPL,171.0,0.0,172.8,168.1,170.0,4443
UNL,35400.0,0.28,35555.0,35400.0,35555.0,180
UNLB,1073.0,1.42,1079.0,1053.1,1055.0,525
UPCL,178.0,-0.06,182.0,177.0,180.5,14697
UPPER,203.5,1.75,204.0,200.0,201.0,35452
USHEC,255.0,2.49,269.0,240.0,244.0,6465
USHL,346.0,1.76,346.0,323.2,335.0,3755
USLB,780.0,0.0,780.0,765.0,765.0,30
VLBS,595.0,2.29,595.0,581.7,581.7,3330
WNLB,718.0,0.42,719.0,704.0,704.0,130
